"eid";"pincode";"location";"area";"target_cost_per_sqft";"stage";"subcat_id";"subcat_name";"SUM(ed.qty)"
"5094";"695587";"Chempazhanthy_";"2200";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"150.00"
"5095";"673105";"Pathiyarakkara_";"1800";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"600.00"
"5095";"673105";"Pathiyarakkara_";"1800";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"300.00"
"5095";"673105";"Pathiyarakkara_";"1800";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"400.00"
"5096";"688524";"Cherthala_";"3000";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"600.00"
"5097";"688524";"Cherthala_";"3000";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"1200.00"
"5097";"688524";"Cherthala_";"3000";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"1.00"
"5098";"670308";"Ramanthali_";"1500";"0.00";NULL;"300";"Wall_and_Roof_Paints";"8.00"
"5098";"670308";"Ramanthali_";"1500";"0.00";NULL;"314";"Wooden_and_Metallic_Paints";"2.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;NULL;"Wash_Basins_and_Pedestals";"2.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"135";"White_Cements_and_Putty";"1.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"159";"Faucets";"8.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"160";"WCs__Flushing_and_Accessories";"1.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"161";"Shower_and_Shower_Accessories";"2.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"169";"Kitchen_Taps";"1.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"228";"PVC_and_Other_Pipes";"116.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"234";"Water_Tanks_and_Storage";"1.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"252";"Fans";"2.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"262";"Electrical_Conduits";"9.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"268";"Pipe_Fittings";"124.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"273";"Electrical_Conduit_Fittings";"7.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"305";"Plumbing_Valves_and_Accessories";"5.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"306";"Allied_Products";"3.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"307";"Bathroom_Accessories";"4.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"308";"Valves";"7.00"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"311";"Common_Consumables";"159.50"
"5099";"671314";"Kollampara_";"1500";"0.00";NULL;"323";"Plumbing_Consumables";"16.00"
"5100";"689621";"Niranam_Central_";"2000";"25.00";NULL;"123";"Tiles_-_Vitrified";"2000.00"
"5101";"671310";"Trikarpur_";"4000";"0.00";NULL;"159";"Faucets";"8.00"
"5101";"671310";"Trikarpur_";"4000";"0.00";NULL;"160";"WCs__Flushing_and_Accessories";"3.00"
"5101";"671310";"Trikarpur_";"4000";"0.00";NULL;"161";"Shower_and_Shower_Accessories";"2.00"
"5101";"671310";"Trikarpur_";"4000";"0.00";NULL;"260";"Faucet_and_Shower_Trims";"3.00"
"5102";"673303";"Elathur__(Kozhikode)";"1800";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"600.00"
"5102";"673303";"Elathur__(Kozhikode)";"1800";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"600.00"
"5103";"686631";"Ettumanur_";"2000";"0.00";NULL;"300";"Wall_and_Roof_Paints";"11.00"
"5103";"686631";"Ettumanur_";"2000";"0.00";NULL;"311";"Common_Consumables";"398.00"
"5103";"686631";"Ettumanur_";"2000";"0.00";NULL;"332";"Iron_and_Steel_Sections_(kg)";"1547.00"
"5103";"686631";"Ettumanur_";"2000";"0.00";NULL;"364";"Iron_and_Steel_Sections_(Metre)";"1182.00"
"5104";"673009";"Malaparamba_";"2000";"1500.00";NULL;"115";"Cement";"200.00"
"5105";"695582";"Kazhakuttam_";"2000";"0.00";NULL;"123";"Tiles_-_Vitrified";"0.00"
"5105";"695582";"Kazhakuttam_";"2000";"0.00";NULL;"124";"Tiles_-_Ceramic";"0.00"
"5105";"695582";"Kazhakuttam_";"2000";"0.00";NULL;"300";"Wall_and_Roof_Paints";"0.00"
"5105";"695582";"Kazhakuttam_";"2000";"0.00";NULL;"334";"Veneers_and_Laminates";"0.00"
"5106";"673508";"Kuttiadi_";"0";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"31293.00"
"5107";"680022";"Thiruvambady_TSR_";"5000";"0.00";NULL;NULL;"Miscellaneous";"1974.00"
"5107";"680022";"Thiruvambady_TSR_";"5000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"14000.00"
"5107";"680022";"Thiruvambady_TSR_";"5000";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"1299.00"
"5107";"680022";"Thiruvambady_TSR_";"5000";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"1106.00"
"5107";"680022";"Thiruvambady_TSR_";"5000";"0.00";NULL;"309";"MCBs_and_Other_Protection_Devices";"218.00"
"5107";"680022";"Thiruvambady_TSR_";"5000";"0.00";NULL;"311";"Common_Consumables";"184.00"
"5107";"680022";"Thiruvambady_TSR_";"5000";"0.00";NULL;"312";"Electrical_Consumables";"926.00"
"5107";"680022";"Thiruvambady_TSR_";"5000";"0.00";NULL;"353";"Coaxial_Cables";"15.00"
"5108";"686669";"Nellad_";"3250";"0.00";NULL;"123";"Tiles_-_Vitrified";"3500.00"
"5108";"686669";"Nellad_";"3250";"0.00";NULL;"135";"White_Cements_and_Putty";"45.00"
"5108";"686669";"Nellad_";"3250";"0.00";NULL;"252";"Fans";"14.00"
"5108";"686669";"Nellad_";"3250";"0.00";NULL;"300";"Wall_and_Roof_Paints";"4.00"
"5108";"686669";"Nellad_";"3250";"0.00";NULL;"322";"Bells";"1.00"
"5108";"686669";"Nellad_";"3250";"0.00";NULL;"359";"Thermo_Sheets_and_Gypsum_Boards";"120.00"
"5108";"686669";"Nellad_";"3250";"0.00";NULL;"360";"Ceiling_and_Paneling_Accessories";"847.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"115";"Cement";"4000.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"0.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"228";"PVC_and_Other_Pipes";"130.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"260";"Faucet_and_Shower_Trims";"2.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"268";"Pipe_Fittings";"168.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"305";"Plumbing_Valves_and_Accessories";"3.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"308";"Valves";"3.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"311";"Common_Consumables";"29.00"
"5110";"673019";"Pantheerankavu_";"10000";"0.00";NULL;"323";"Plumbing_Consumables";"5.00"
